Population,Total Population,Females,Males,Married Females,Married Males,Girls,Boys
8094,14435,4103,3991,606,451,1073,993
8181,14573,4142,4039,601,446,1065,1020
8237,14693,4177,4060,609,452,1084,1036
8324,14835,4214,4110,621,466,1089,1061
8406,14976,4253,4153,619,476,1074,1072
8488,15119,4299,4189,631,468,1104,1083
8584,15274,4344,4240,618,454,1107,1106
8672,15427,4374,4298,630,451,1114,1141
8771,15580,4434,4337,677,469,1139,1153
8858,15726,4483,4375,666,478,1144,1167
8915,15853,4512,4403,689,490,1145,1190
9009,16006,4547,4462,677,469,1145,1198
9090,16151,4597,4493,670,464,1166,1190
9183,16306,4642,4541,689,474,1183,1211
9284,16463,4684,4600,704,472,1185,1248
9388,16638,4748,4640,721,488,1217,1264
9501,16807,4810,4691,729,512,1249,1276
9604,16974,4861,4743,735,513,1251,1288
9696,17128,4915,4781,747,505,1270,1285
9803,17299,4984,4819,752,511,1307,1299
9885,17459,5023,4862,750,522,1321,1303
9984,17625,5077,4907,761,536,1336,1313
10065,17785,5114,4951,768,559,1348,1318
10177,17965,5170,5007,757,544,1363,1328
10285,18138,5214,5071,773,566,1380,1331
10385,18307,5266,5119,788,578,1383,1344
10467,18468,5303,5164,787,578,1391,1351
10534,18628,5334,5200,806,606,1407,1368
10636,18815,5382,5254,800,619,1425,1384
10725,18978,5423,5302,821,629,1425,1402
10811,19149,5469,5342,813,621,1436,1407
10903,19323,5509,5394,802,615,1455,1405
10985,19492,5545,5440,815,635,1438,1416
11091,19672,5597,5494,832,639,1438,1427
11205,19853,5640,5565,840,645,1437,1442
11297,20034,5684,5613,844,664,1452,1454
11405,20226,5725,5680,864,669,1440,1487
11505,20408,5779,5726,877,675,1448,1501
11603,20602,5835,5768,880,691,1467,1510
11714,20794,5880,5834,864,669,1475,1534
11830,20992,5935,5895,905,682,1492,1535
11960,21199,6011,5949,895,668,1526,1535
12086,21402,6068,6018,903,668,1545,1550
12195,21590,6129,6066,917,676,1557,1565
12305,21790,6187,6118,936,699,1583,1579
12405,21990,6225,6180,933,701,1588,1587
12523,22187,6290,6233,938,705,1608,1601
12663,22406,6354,6309,938,704,1620,1637
12777,22612,6406,6371,953,725,1632,1657
12887,22825,6455,6432,966,743,1662,1671
13015,23044,6524,6491,964,746,1688,1684
13133,23255,6572,6561,979,754,1707,1695
13251,23464,6628,6623,978,747,1714,1716
13368,23680,6694,6674,972,754,1743,1711
13497,23905,6753,6744,980,766,1760,1737
13585,24116,6796,6789,986,801,1761,1753
13729,24351,6856,6873,986,792,1775,1782
13849,24587,6917,6932,1000,824,1792,1803
13987,24833,6991,6996,1015,841,1798,1836
14140,25070,7046,7094,1019,827,1788,1880
14268,25297,7113,7155,1019,837,1810,1897
14377,25520,7165,7212,1043,849,1811,1919
14502,25743,7244,7258,1068,845,1838,1915
14626,26002,7316,7310,1075,847,1878,1937
14765,26231,7369,7396,1078,852,1883,1942
14926,26493,7448,7478,1084,852,1913,1968
15047,26722,7517,7530,1071,847,1927,1970
15171,26963,7570,7601,1066,841,1928,1991
15309,27208,7657,7652,1060,852,1967,1986
15465,27474,7729,7736,1066,859,1994,2016
15626,27733,7798,7828,1089,879,1995,2058
15766,27994,7870,7896,1095,876,2026,2063
15920,28272,7952,7968,1094,896,2061,2095
16075,28553,8038,8037,1085,892,2104,2098
16251,28826,8134,8117,1102,893,2125,2114
16446,29117,8215,8231,1109,911,2138,2146
16588,29384,8285,8303,1119,918,2178,2136
16766,29670,8351,8415,1132,956,2184,2189
16948,29970,8440,8508,1137,953,2234,2216
17119,30268,8521,8598,1151,965,2261,2264
17297,30560,8618,8679,1124,987,2275,2283
17477,30858,8708,8769,1126,986,2320,2307
17647,31137,8788,8859,1113,988,2330,2314
17781,31404,8845,8936,1123,975,2334,2348
17960,31705,8922,9038,1143,976,2356,2386
18132,31993,8999,9133,1140,990,2359,2426
18312,32311,9080,9232,1140,988,2380,2457
18485,32607,9157,9328,1144,977,2399,2475
18679,32935,9242,9437,1156,1000,2416,2525
18869,33250,9338,9531,1174,995,2427,2551
19049,33578,9429,9620,1215,1044,2435,2590
19242,33904,9509,9733,1227,1081,2434,2644
19444,34236,9617,9827,1227,1065,2461,2658
19607,34547,9700,9907,1280,1112,2483,2680
19796,34878,9803,9993,1300,1117,2527,2681
